CompanyID,CIK,AddedDate,CloseDate,DaysToClose,WeeksToClose,CompanyStatus,Platform,FundraisingType,EquityType,Industry,Valuation,MinimumInvestment,RoundMinimum,RoundMaximum,Raised,PercentOfGoal,RaisedAmountBucket,SuccessStatus,Investors,CompanyName
330,1674374,2017-11-07,2018-01-19,73,10.4,Successful Raise,Wefunder,Crowdfunding,Equity,Technology/Software,,$105,"$249,000","$570,000","$1,001,465",175.7%,#NAME?,#NAME?,"1,210",Daplie
329,1699476,2017-11-07,2018-02-25,110,15.7,Successful Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$240,"$10,000","$400,000","$252,624",63.2%,#NAME?,#NAME?,732,PlantSnap
328,1717904,2017-11-07,2017-12-31,54,7.7,Successful Raise,Republic,Crowdfunding,SAFE/CN,"Medical, Health and Well Being",,$100,"$50,000","$1,070,000","$809,007",75.6%,#NAME?,#NAME?,894,RMR Laboratories
327,1705975,2017-11-07,2018-02-28,113,16.1,Successful Raise,NextSeed,Crowdfunding,Debt,Food & Beverage,,$100,"$250,000","$550,000","$550,000",100.0%,#NAME?,#NAME?,393,Pitch 25
326,1684793,2017-11-07,2018-02-05,90,12.9,Successful Raise,Netcapital,Crowdfunding,Equity,Consumer Products & Services,,$100,"$10,000","$200,000","$30,657",15.3%,#NAME?,#NAME?,0,SimpleForms
343,1453982,2017-11-10,2018-04-30,171,24.4,Successful Raise,Wefunder,Crowdfunding,Equity,Technology/Software,,"$1,000","$400,000","$1,070,000","$996,250",93.1%,#NAME?,#NAME?,456,LPPFusion
342,1721429,2017-11-10,2018-02-08,90,12.9,Successful Raise,StartEngine,Crowdfunding,Equity,"Medical, Health and Well Being",,$100,"$10,000","$107,000","$36,600",34.2%,#NAME?,#NAME?,78,BioHealthonomics
341,1721303,2017-11-10,2018-02-13,95,13.6,Successful Raise,StartEngine,Crowdfunding,SAFE/CN,Food & Beverage,,$200,"$10,000","$107,000","$69,000",64.5%,#NAME?,#NAME?,73,Ceres Greens
340,1718275,2017-11-10,2018-01-08,59,8.4,Successful Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$350,"$10,000","$107,000","$27,900",26.1%,#NAME?,#NAME?,23,Yecup
339,1722197,2017-11-10,2018-01-31,82,11.7,Successful Raise,StartEngine,Crowdfunding,Other Security Type,Technology/Software,,$150,"$10,000","$744,000","$171,287",23.0%,#NAME?,#NAME?,303,Indeco
338,1721124,2017-11-10,2018-01-31,82,11.7,Successful Raise,StartEngine,Crowdfunding,Equity,Consumer Products & Services,,$320,"$10,000","$1,070,000","$451,354",42.2%,#NAME?,#NAME?,87,LoveBug Probiotics
337,1720880,2017-11-10,2018-02-02,84,12.0,Successful Raise,SeedInvest,CF and Reg D,Debt,Technology/Software,,$500,"$100,000","$500,000","$123,600",24.7%,#NAME?,#NAME?,0,MJ Hybrid Solutions
336,1646046,2017-11-10,2017-12-18,38,5.4,Successful Raise,Netcapital,Crowdfunding,Equity,Technology/Software,,$101,"$10,000","$1,069,740","$19,155",1.8%,#NAME?,#NAME?,0,ContentOro
